"epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
2021-11-22,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2021-11-29,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2021-12-06,0,0,3,3,0,3,0,3,3,4,3,2,0,3,0,2,2,0,0,1,0,0,0,1,1,4,0,33.3333333333333,0,0,0,33.3333333333333,33.3333333333333,100
2021-12-13,0,0,5,5,0,5,0,5,5,5,5,3,0,5,0,5,5,0,0,2,0,0,0,0,0,5,0,40,0,0,0,0,0,100
2021-12-20,0,0,4,4,0,4,0,4,4,4,3,3,0,4,0,4,4,0,1,1,0,0,0,0,0,4,25,25,0,0,0,0,0,100
2021-12-27,0,0,2,2,0,2,0,2,2,2,1,2,0,2,0,2,2,0,1,0,0,0,0,0,0,2,50,0,0,0,0,0,0,100
2022-01-03,0,0,7,7,0,7,1,6,7,7,2,7,0,7,1,6,7,0,5,0,0,0,0,0,0,7,71.4285714285714,0,0,0,0,0,0,100
2022-01-10,0,0,5,5,0,5,0,5,5,5,3,5,0,5,0,5,5,0,2,0,0,0,0,0,0,5,40,0,0,0,0,0,0,100
2022-01-17,0,0,6,6,0,6,0,6,6,6,6,6,0,6,0,5,5,0,0,0,0,0,0,1,1,6,0,0,0,0,0,16.6666666666667,16.6666666666667,100
2022-01-24,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2022-01-31,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,2,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,33.3333333333333,33.3333333333333,100
2022-02-07,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-02-14,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-02-21,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,1,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,66.6666666666667,66.6666666666667,100
2022-02-28,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,100,100
